##data,format,,,,,
##objectcode,blockX,blockY,functionParameter(0[enter],1[interact],2[step],3[exit])
1,28,21,,,,
1,30,21,,,,
1,32,21,,,,
1,34,21,,,,
1,0,23,,,,
1,2,23,,,,
1,4,23,,,,
1,6,23,,,,
1,8,23,,,,
1,10,23,,,,
1,12,23,,,,
1,14,23,,,,
1,16,23,,,,
1,20,23,,,,
1,22,23,,,,
1,24,23,,,,
1,26,23,,,,
1,28,23,,,,
1,30,23,,,,
1,32,23,,,,
1,34,23,,,,
1,0,25,,,,
1,2,25,,,,
1,4,25,,,,
1,6,25,,,,
1,8,25,,,,
1,10,25,,,,
1,12,25,,,,
1,14,25,,,,
1,16,25,,,,
1,20,25,,,,
1,22,25,,,,
1,24,25,,,,
1,26,25,,,,
1,28,25,,,,
1,30,25,,,,
1,32,25,,,,
1,34,25,,,,
1,0,27,,,,
1,2,27,,,,
1,4,27,,,,
1,6,27,,,,
1,8,27,,,,
1,10,27,,,,
1,12,27,,,,
1,14,27,,,,
1,16,27,,,,
1,20,27,,,,
1,22,27,,,,
1,24,27,,,,
1,26,27,,,,
1,28,27,,,,
1,30,27,,,,
1,32,27,,,,
1,34,27,,,,
#lower-left,grass,,,,,
2,10,17,3[12],,,
2,11,17,3[12],,,
2,8,18,3[12],,,
2,9,18,3[12],,,
2,10,18,3[12],,,
2,11,18,3[12],,,
2,12,18,3[12],,,
2,8,19,3[12],,,
2,9,19,3[12],,,
2,10,19,3[12],,,
2,11,19,3[12],,,
2,12,19,3[12],,,
2,13,19,3[12],,,
2,10,20,3[12],,,
2,11,20,3[12],,,
2,12,20,3[12],,,
2,13,20,3[12],,,
2,10,21,3[12],,,
2,11,21,3[12],,,
2,12,21,3[12],,,
#lower-right,grass,,,,,
2,21,13,3[12],,,
2,22,13,3[12],,,
2,19,14,3[12],,,
2,20,14,3[12],,,
2,21,14,3[12],,,
2,22,14,3[12],,,
2,23,14,3[12],,,
2,19,15,3[12],,,
2,20,15,3[12],,,
2,21,15,3[12],,,
2,22,15,3[12],,,
2,23,15,3[12],,,
2,24,15,3[12],,,
2,19,16,3[12],,,
2,20,16,3[12],,,
2,21,16,3[12],,,
2,22,16,3[12],,,
2,23,16,3[12],,,
2,24,16,3[12],,,
2,20,17,3[12],,,
2,21,17,3[12],,,
2,22,17,3[12],,,
2,23,17,3[12],,,
2,24,17,3[12],,,
2,22,18,3[12],,,
2,23,18,3[12],,,
2,22,19,3[12],,,
2,23,19,3[12],,,
#upper-right,grass,,,,,
2,21,6,3[12],,,
2,22,6,3[12],,,
2,23,6,3[12],,,
2,20,7,3[12],,,
2,21,7,3[12],,,
2,22,7,3[12],,,
2,23,7,3[12],,,
2,20,8,3[12],,,
2,21,8,3[12],,,
2,22,8,3[12],,,
2,23,8,3[12],,,
2,24,8,3[12],,,
2,25,8,3[12],,,
2,20,9,3[12],,,
2,21,9,3[12],,,
2,22,9,3[12],,,
2,23,9,3[12],,,
2,24,9,3[12],,,
2,25,9,3[12],,,
2,21,10,3[12],,,
2,22,10,3[12],,,
2,23,10,3[12],,,
2,24,10,3[12],,,
#upper-leftgrass,,,,,,
2,10,6,3[12],,,
2,11,6,3[12],,,
2,12,6,3[12],,,
2,10,7,3[12],,,
2,11,7,3[12],,,
2,12,7,3[12],,,
2,13,7,3[12],,,
2,8,8,3[12],,,
2,9,8,3[12],,,
2,10,8,3[12],,,
2,11,8,3[12],,,
2,12,8,3[12],,,
2,13,8,3[12],,,
2,8,9,3[12],,,
2,9,9,3[12],,,
2,10,9,3[12],,,
2,11,9,3[12],,,
2,12,9,3[12],,,
2,10,10,3[12],,,
2,11,10,3[12],,,
#sign,,,,,,
8,13,13,1[ROUTE 101@@@t^zxzx OLDALE TOWN],,,
