##data,format,,,,,
##objectcode,blockX,blockY,functionParameter(0[enter],1[interact],2[step],3[exit])
2,8,18,3[12],,,
2,6,19,3[12],,,
2,7,19,3[12],,,
2,8,19,3[12],,,
2,6,20,3[12],,,
2,7,20,3[12],,,
2,8,20,3[12],,,
2,9,20,3[12],,,
2,6,21,3[12],,,
2,7,21,3[12],,,
2,8,21,3[12],,,
2,9,21,3[12],,,
#MiddleGrassBig,,,,,,
2,20,11,3[12],,,
2,21,11,3[12],,,
2,22,11,3[12],,,
2,23,11,3[12],,,
2,24,11,3[12],,,
2,18,12,3[12],,,
2,19,12,3[12],,,
2,20,12,3[12],,,
2,21,12,3[12],,,
2,22,12,3[12],,,
2,23,12,3[12],,,
2,24,12,3[12],,,
2,17,13,3[12],,,
2,18,13,3[12],,,
2,19,13,3[12],,,
2,20,13,3[12],,,
2,21,13,3[12],,,
2,22,13,3[12],,,
2,23,13,3[12],,,
2,16,14,3[12],,,
2,17,14,3[12],,,
2,18,14,3[12],,,
2,19,14,3[12],,,
2,20,14,3[12],,,
2,21,14,3[12],,,
2,16,15,3[12],,,
2,17,15,3[12],,,
2,18,15,3[12],,,
2,19,15,3[12],,,
2,16,16,3[12],,,
2,17,16,3[12],,,
2,18,16,3[12],,,
2,16,17,3[12],,,
2,17,17,3[12],,,
#bottomMiddleGrass,,,,,,
2,20,19,3[12],,,
2,21,19,3[12],,,
2,22,19,3[12],,,
2,19,20,3[12],,,
2,20,20,3[12],,,
2,21,20,3[12],,,
2,22,20,3[12],,,
2,23,20,3[12],,,
2,24,20,3[12],,,
2,25,20,3[12],,,
2,19,21,3[12],,,
2,20,21,3[12],,,
2,21,21,3[12],,,
2,22,21,3[12],,,
2,23,21,3[12],,,
2,24,21,3[12],,,
2,25,21,3[12],,,
2,26,21,3[12],,,
2,24,22,3[12],,,
2,25,22,3[12],,,
2,26,22,3[12],,,
2,27,22,3[12],,,
2,24,23,3[12],,,
2,25,23,3[12],,,
2,26,23,3[12],,,
2,27,23,3[12],,,
#middleSmallGrass,,,,,,
2,30,16,3[12],,,
2,31,16,3[12],,,
2,28,17,3[12],,,
2,29,17,3[12],,,
2,30,17,3[12],,,
2,31,17,3[12],,,
2,28,18,3[12],,,
2,29,18,3[12],,,
2,30,18,3[12],,,
2,31,18,3[12],,,
2,32,18,3[12],,,
2,29,19,3[12],,,
2,30,19,3[12],,,
2,31,19,3[12],,,
#TopRightGrass,,,,,,
2,36,6,3[12],,,
2,37,6,3[12],,,
2,38,6,3[12],,,
2,39,6,3[12],,,
2,36,7,3[12],,,
2,37,7,3[12],,,
2,38,7,3[12],,,
2,39,7,3[12],,,
2,36,8,3[12],,,
2,37,8,3[12],,,
2,38,8,3[12],,,
2,39,8,3[12],,,
2,37,9,3[12],,,
2,38,9,3[12],,,
2,39,9,3[12],,,
2,38,10,3[12],,,
2,39,10,3[12],,,
#Sign,,,,,,
8,40,13,1[],,,
8,17,6,1[],,,
,,,,,,
101,34,8,0[1/0],,,
101,34,9,0[1/0],,,
101,34,10,0[1/0],,,
101,34,11,0[1/0],,,
101,20,10,0[0/1],,,
101,21,10,0[0/1],,,
101,22,10,0[0/1],,,
101,23,10,0[0/1],,,
101,24,10,0[0/1],,,
101,25,10,0[0/1],,,
101,16,10,0[0/1],,,
101,17,10,0[0/1],,,
101,8,17,0[0/1],,,
101,9,17,0[0/1],,,
101,10,17,0[0/1],,,
101,11,17,0[0/1],,,
